train_params/lambda_normal_consistency,epoch,train_params/lambda_sds,train/loss_sds,lr-AdamW,train/max_step,train/min_step,step,train/grad_norm
0.0,0,1.0,1041.638916015625,,500.0,20.0,237,45.64293670654297
,,,,0.01,,,238,
0.0,0,1.0,77457.3828125,,500.0,20.0,238,393.59210205078125
,,,,0.01,,,239,
0.0,0,1.0,58653.37890625,,500.0,20.0,239,342.500732421875
,,,,0.01,,,240,
0.0,0,1.0,93.99588012695312,,500.0,20.0,240,13.71100902557373
,,,,0.01,,,241,
0.0,0,1.0,7385.0947265625,,500.0,20.0,241,121.53266906738281
,,,,0.01,,,242,
0.0,0,1.0,2477.02880859375,,500.0,20.0,242,70.38506317138672
,,,,0.01,,,243,
0.0,0,1.0,14557.5771484375,,500.0,20.0,243,170.6316375732422
,,,,0.01,,,244,
0.0,0,1.0,7625.03662109375,,500.0,20.0,244,123.4911880493164
,,,,0.01,,,245,
0.0,0,1.0,28965.98046875,,500.0,20.0,245,240.6905975341797
,,,,0.01,,,246,
0.0,0,1.0,659.8853149414062,,500.0,20.0,246,36.32864761352539
,,,,0.01,,,247,
0.0,0,1.0,4329.4609375,,500.0,20.0,247,93.05332946777344
,,,,0.01,,,248,
0.0,0,1.0,48662.46875,,500.0,20.0,248,311.9694519042969
,,,,0.01,,,249,
0.0,0,1.0,19804.8125,,500.0,20.0,249,199.02166748046875
,,,,0.01,,,250,
0.0,0,1.0,58096.24609375,,500.0,20.0,250,340.8702087402344
,,,,0.01,,,251,
0.0,0,1.0,50183.6953125,,500.0,20.0,251,316.8081359863281
,,,,0.01,,,252,
0.0,0,1.0,1870.0478515625,,500.0,20.0,252,61.15632247924805
,,,,0.01,,,253,
0.0,0,1.0,306.559326171875,,500.0,20.0,253,24.761232376098633
,,,,0.01,,,254,
0.0,0,1.0,10312.0078125,,500.0,20.0,254,143.6106414794922
,,,,0.01,,,255,
0.0,0,1.0,30874.28125,,500.0,20.0,255,248.49258422851562
,,,,0.01,,,256,
0.0,0,1.0,44074.8359375,,500.0,20.0,256,296.9001159667969
,,,,0.01,,,257,
0.0,0,1.0,10344.421875,,500.0,20.0,257,143.83616638183594
,,,,0.01,,,258,
0.0,0,1.0,40443.29296875,,500.0,20.0,258,284.4056701660156
,,,,0.01,,,259,
0.0,0,1.0,74941.21875,,500.0,20.0,259,387.14654541015625
,,,,0.01,,,260,
