lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
,,,5399,0.03416580706834793,0.1943574845790863,0.028741607442498207,0.022553877905011177,0.0032331484835594893,0.025243040174245834,0.018824324011802673,0.024351678788661957,536.8324584960938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5399.0,0,,
0.00029770729293233965,0.0029770729293233968,0.00029770729293233965,5499,,,,,,,,,,,,,,,,,,,,,,,,
,,,5499,0.028233861550688744,0.18086151778697968,0.02536923810839653,0.022542066872119904,0.0022922835778445005,0.02601921744644642,0.01865580305457115,0.022592075169086456,533.5421752929688,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5385.0,0,,
0.0002905782861196994,0.0029057828611969948,0.0002905782861196994,5599,,,,,,,,,,,,,,,,,,,,,,,,
,,,5599,0.0319385826587677,0.1890735626220703,0.024606820195913315,0.023520803079009056,0.0016676008235663176,0.024550026282668114,0.020569367334246635,0.02373126894235611,539.676513671875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5479.0,0,,
0.00028361999308982916,0.0028361999308982927,0.00028361999308982916,5699,,,,,,,,,,,,,,,,,,,,,,,,
,,,5699,0.028210844844579697,0.1811571568250656,0.023516327142715454,0.021224671974778175,0.0009876842377707362,0.022738156840205193,0.019131192937493324,0.022480260580778122,544.616455078125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5388.0,0,,
0.0002768283258685701,0.0027682832586857016,0.0002768283258685701,5799,,,,,,,,,,,,,,,,,,,,,,,,
,,,5799,0.029612842947244644,0.17990316450595856,0.024267517030239105,0.0214742012321949,0.0007753123645670712,0.022664552554488182,0.016102608293294907,0.02170713059604168,546.4013671875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5434.0,0,,
0.00027019929437387515,0.0027019929437387532,0.00027019929437387515,5899,,,,,,,,,,,,,,,,,,,,,,,,
,,,5899,0.02870355360209942,0.1872703582048416,0.023157639428973198,0.020563505589962006,0.0020053465850651264,0.02408536896109581,0.019252050668001175,0.022430753335356712,547.6468505859375,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5411.0,0,,
0.0002637290040716496,0.0026372900407164966,0.0002637290040716496,5999,,,,,,,,,,,,,,,,,,,,,,,,
,,,5999,0.030357886105775833,0.18048186600208282,0.024579059332609177,0.02212454378604889,0.0018857755931094289,0.0240738857537508,0.020386815071105957,0.023942910134792328,548.4157104492188,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5490.0,0,,
,,,5999,,,,,,,,,,,,,,,,,,,,,,0,21.44400405883789,
0.00025741365368772424,0.002574136536877244,0.00025741365368772424,6099,,,,,,,,,,,,,,,,,,,,,,,,
,,,6099,0.032076992094516754,0.19929632544517517,0.024629397317767143,0.020806491374969482,0.0009180109482258558,0.021937383338809013,0.019210753962397575,0.02348758652806282,543.4902954101562,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5447.0,0,,
0.00025124953297462,0.0025124953297462047,0.00025124953297462,6199,,,,,,,,,,,,,,,,,,,,,,,,
,,,6199,0.02719108760356903,0.17334717512130737,0.023551378399133682,0.021675560623407364,0.0014502456178888679,0.023237410932779312,0.021336164325475693,0.022383447736501694,550.1435546875,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5426.0,0,,
0.00024523302053178973,0.0024523302053179033,0.00024523302053178973,6299,,,,,,,,,,,,,,,,,,,,,,,,
,,,6299,0.029299667105078697,0.1803712546825409,0.024879276752471924,0.022118309512734413,0.0011910314206033945,0.02271154895424843,0.016115965321660042,0.022308623418211937,553.212158203125,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5443.0,0,,
0.00023936058167805708,0.0023936058167805733,0.00023936058167805708,6399,,,,,,,,,,,,,,,,,,,,,,,,
,,,6399,0.02927623875439167,0.18074177205562592,0.02419186569750309,0.022259553894400597,0.0018240087665617466,0.023601587861776352,0.017640765756368637,0.02206539176404476,554.4935913085938,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,5432.0,0,,
