lr-AdamW/geometry,lr-AdamW/texture,lr-AdamW/variance,step,train/loss_rgb_mse,train/loss_rgb,train/loss_normal,train/loss_eikonal,train/loss_mask,train/loss_opaque,train/loss_sparsity,train/loss_3d_normal_smooth,train/inv_s,train_params/lambda_rgb_mse,train_params/lambda_rgb_l1,train_params/lambda_mask,train_params/lambda_eikonal,train_params/lambda_normal,train_params/lambda_3d_normal_smooth,train_params/lambda_curvature,train_params/lambda_sparsity,train_params/lambda_distortion,train_params/lambda_distortion_bg,train_params/lambda_opaque,train/num_rays,epoch,val/psnr,test/psnr
,,,4999,0.03839358687400818,0.22472307085990906,0.01334816962480545,0.011885741725564003,0.0010473254369571805,0.025469429790973663,0.006445927545428276,0.010993028990924358,228.14376831054688,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00032801577987270734,0.0032801577987270707,0.00032801577987270734,5099,,,,,,,,,,,,,,,,,,,,,,,,
,,,5099,0.02821272797882557,0.1990271657705307,0.012087909504771233,0.012079870328307152,0.0007536262855865061,0.02317090518772602,0.0045583294704556465,0.011699209921061993,231.7449188232422,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00032016099503914434,0.0032016099503914403,0.00032016099503914434,5199,,,,,,,,,,,,,,,,,,,,,,,,
,,,5199,0.033646389842033386,0.21157978475093842,0.01357157714664936,0.011933150701224804,0.000890961498953402,0.02427579089999199,0.0063627902418375015,0.012065790593624115,224.9429473876953,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003124943037320743,0.0031249430373207405,0.0003124943037320743,5299,,,,,,,,,,,,,,,,,,,,,,,,
,,,5299,0.03256451338529587,0.20608220994472504,0.014125395566225052,0.011783703230321407,0.0007904446101747453,0.02411530539393425,0.005453820340335369,0.011576473712921143,224.7822265625,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.0003050112017956915,0.003050112017956916,0.0003050112017956915,5399,,,,,,,,,,,,,,,,,,,,,,,,
,,,5399,0.03094925731420517,0.20816080272197723,0.013755956664681435,0.011358878575265408,0.0008080077823251486,0.02435474842786789,0.005216230172663927,0.011029159650206566,224.1321258544922,0.5,0.0,1.0,0.20000000298023224,1.0,1.0,0.0,0.5,0.0,0.0,0.0,8192.0,0,,
0.00029770729293233965,0.0029770729293233968,0.00029770729293233965,5499,,,,,,,,,,,,,,,,,,,,,,,,
