step,train/grad_norm,train/max_step,lr-Adam,train_params/lambda_sds,train_params/lambda_normal_consistency,train/loss_sds,train/loss_normal_consistency,train/min_step,epoch
154,149.1812286376953,500.0,,1.0,10000.0,11127.51953125,0.030268477275967598,20.0,0
155,,,0.01,,,,,,
155,44.86497497558594,500.0,,1.0,10000.0,1006.4329833984375,0.030245466157794,20.0,0
156,,,0.01,,,,,,
156,115.33479309082031,500.0,,1.0,10000.0,6651.0576171875,0.030223555862903595,20.0,0
157,,,0.01,,,,,,
157,343.9057922363281,500.0,,1.0,10000.0,59135.59375,0.03019983135163784,20.0,0
158,,,0.01,,,,,,
158,46.20005798339844,500.0,,1.0,10000.0,1067.2227783203125,0.030169552192091942,20.0,0
159,,,0.01,,,,,,
159,236.65257263183594,500.0,,1.0,10000.0,28002.21875,0.030138367787003517,20.0,0
160,,,0.01,,,,,,
160,158.27407836914062,500.0,,1.0,10000.0,12525.341796875,0.030113592743873596,20.0,0
161,,,0.01,,,,,,
161,55.49181365966797,500.0,,1.0,10000.0,1539.6708984375,0.030088339000940323,20.0,0
162,,,0.01,,,,,,
162,139.00172424316406,500.0,,1.0,10000.0,9660.740234375,0.030063902959227562,20.0,0
163,,,0.01,,,,,,
163,28.388978958129883,500.0,,1.0,10000.0,402.967041015625,0.030042262747883797,20.0,0
164,,,0.01,,,,,,
164,66.00296783447266,500.0,,1.0,10000.0,2178.196044921875,0.030019981786608696,20.0,0
165,,,0.01,,,,,,
165,252.91055297851562,500.0,,1.0,10000.0,31981.875,0.029993999749422073,20.0,0
166,,,0.01,,,,,,
166,208.67111206054688,500.0,,1.0,10000.0,21771.81640625,0.029966024681925774,20.0,0
167,,,0.01,,,,,,
167,232.40882873535156,500.0,,1.0,10000.0,27006.93359375,0.029937123879790306,20.0,0
168,,,0.01,,,,,,
168,182.6686248779297,500.0,,1.0,10000.0,16683.9140625,0.029901953414082527,20.0,0
169,,,0.01,,,,,,
169,10.304139137268066,500.0,,1.0,10000.0,53.08763885498047,0.029872743412852287,20.0,0
170,,,0.01,,,,,,
170,41.25792694091797,500.0,,1.0,10000.0,851.1082763671875,0.02984709106385708,20.0,0
171,,,0.01,,,,,,
171,172.28253173828125,500.0,,1.0,10000.0,14840.634765625,0.02982228994369507,20.0,0
172,,,0.01,,,,,,
172,61.879337310791016,500.0,,1.0,10000.0,1914.526123046875,0.029793396592140198,20.0,0
173,,,0.01,,,,,,
173,17.07320213317871,500.0,,1.0,10000.0,145.74710083007812,0.029766015708446503,20.0,0
174,,,0.01,,,,,,
174,7.281673431396484,500.0,,1.0,10000.0,26.511383056640625,0.029743876308202744,20.0,0
175,,,0.01,,,,,,
175,313.28240966796875,500.0,,1.0,10000.0,49072.9375,0.029712963849306107,20.0,0
176,,,0.01,,,,,,
176,66.95919799804688,500.0,,1.0,10000.0,2241.76708984375,0.029685989022254944,20.0,0
177,,,0.01,,,,,,
177,66.51851654052734,500.0,,1.0,10000.0,2212.356689453125,0.029667334631085396,20.0,0
178,,,0.01,,,,,,
178,47.047786712646484,500.0,,1.0,10000.0,1106.7470703125,0.02965264394879341,20.0,0
179,,,0.01,,,,,,
179,305.4076232910156,500.0,,1.0,10000.0,46636.90625,0.029636641964316368,20.0,0
180,,,0.01,,,,,,
180,47.30758285522461,500.0,,1.0,10000.0,1119.0037841796875,0.029626091942191124,20.0,0
181,,,0.01,,,,,,
181,20.83555030822754,500.0,,1.0,10000.0,217.06005859375,0.02961508184671402,20.0,0
182,,,0.01,,,,,,
182,43.663360595703125,500.0,,1.0,10000.0,953.24462890625,0.02960324101150036,20.0,0
183,,,0.01,,,,,,
183,12.588468551635742,500.0,,1.0,10000.0,79.23477172851562,0.029587319120764732,20.0,0
184,,,0.01,,,,,,
184,12.157380104064941,500.0,,1.0,10000.0,73.90094757080078,0.02956947311758995,20.0,0
185,,,0.01,,,,,,
185,370.9610290527344,500.0,,1.0,10000.0,68806.0390625,0.029548874124884605,20.0,0
186,,,0.01,,,,,,
186,314.2967224121094,500.0,,1.0,10000.0,49391.21875,0.02951967343688011,20.0,0
187,,,0.01,,,,,,
187,187.1831512451172,500.0,,1.0,10000.0,17518.765625,0.029490577057003975,20.0,0
188,,,0.01,,,,,,
188,4.901666164398193,500.0,,1.0,10000.0,12.013167381286621,0.0294576995074749,20.0,0
189,,,0.01,,,,,,
189,21.59922218322754,500.0,,1.0,10000.0,233.26318359375,0.029425518587231636,20.0,0
190,,,0.01,,,,,,
190,208.49374389648438,500.0,,1.0,10000.0,21734.8203125,0.029393021017313004,20.0,0
191,,,0.01,,,,,,
191,100.71525573730469,500.0,,1.0,10000.0,5071.78173828125,0.029357917606830597,20.0,0
192,,,0.01,,,,,,
192,172.0906219482422,500.0,,1.0,10000.0,14807.58984375,0.029319193214178085,20.0,0
193,,,0.01,,,,,,
193,255.21966552734375,500.0,,1.0,10000.0,32568.5390625,0.029283517971634865,20.0,0
194,,,0.01,,,,,,
194,323.9145202636719,500.0,,1.0,10000.0,52460.3125,0.029262950643897057,20.0,0
195,,,0.01,,,,,,
195,33.56505584716797,500.0,,1.0,10000.0,563.3065185546875,0.029224896803498268,20.0,0
196,,,0.01,,,,,,
196,139.6769256591797,500.0,,1.0,10000.0,9754.822265625,0.029200833290815353,20.0,0
197,,,0.01,,,,,,
197,147.40310668945312,500.0,,1.0,10000.0,10863.837890625,0.02917795069515705,20.0,0
198,,,0.01,,,,,,
198,44.48213577270508,500.0,,1.0,10000.0,989.3301391601562,0.02915765531361103,20.0,0
199,,,0.01,,,,,,
199,14.423855781555176,500.0,,1.0,10000.0,104.0238037109375,0.02913575991988182,20.0,0
200,,,0.01,,,,,,
200,34.44721984863281,500.0,,1.0,10000.0,593.3055419921875,0.029114389792084694,20.0,0
201,,,0.01,,,,,,
201,118.56602478027344,500.0,,1.0,10000.0,7028.951171875,0.02909245155751705,20.0,0
202,,,0.01,,,,,,
202,135.29254150390625,500.0,,1.0,10000.0,9152.0361328125,0.029061472043395042,20.0,0
203,,,0.01,,,,,,
203,19.08597755432129,500.0,,1.0,10000.0,182.13726806640625,0.029034892097115517,20.0,0
204,,,0.01,,,,,,
204,172.30923461914062,500.0,,1.0,10000.0,14845.2373046875,0.029007939621806145,20.0,0
205,,,0.01,,,,,,
205,63.98420715332031,500.0,,1.0,10000.0,2046.989501953125,0.0289775263518095,20.0,0
206,,,0.01,,,,,,
206,139.13075256347656,500.0,,1.0,10000.0,9678.68359375,0.02894531935453415,20.0,0
207,,,0.01,,,,,,
207,370.2414245605469,500.0,,1.0,10000.0,68539.359375,0.028920678421854973,20.0,0
208,,,0.01,,,,,,
208,3.588181257247925,500.0,,1.0,10000.0,6.437521934509277,0.02888038195669651,20.0,0
209,,,0.01,,,,,,
209,234.8175506591797,500.0,,1.0,10000.0,27569.640625,0.028841014951467514,20.0,0
210,,,0.01,,,,,,
210,3.321692705154419,500.0,,1.0,10000.0,5.516820907592773,0.028795596212148666,20.0,0
211,,,0.01,,,,,,
211,96.79461669921875,500.0,,1.0,10000.0,4684.5986328125,0.028750646859407425,20.0,0
212,,,0.01,,,,,,
212,15.701047897338867,500.0,,1.0,10000.0,123.26145935058594,0.028703901916742325,20.0,0
213,,,0.01,,,,,,
213,17.55376434326172,500.0,,1.0,10000.0,154.06735229492188,0.02865738607943058,20.0,0
214,,,0.01,,,,,,
214,65.03875732421875,500.0,,1.0,10000.0,2115.019775390625,0.028609998524188995,20.0,0
215,,,0.01,,,,,,
215,365.09539794921875,500.0,,1.0,10000.0,66647.328125,0.02855842374265194,20.0,0
216,,,0.01,,,,,,
216,72.03738403320312,500.0,,1.0,10000.0,2594.692138671875,0.028510531410574913,20.0,0
217,,,0.01,,,,,,
217,20.87572479248047,500.0,,1.0,10000.0,217.89794921875,0.0284657534211874,20.0,0
218,,,0.01,,,,,,
218,348.2372741699219,500.0,,1.0,10000.0,60634.59765625,0.02842429094016552,20.0,0
219,,,0.01,,,,,,
219,310.4844665527344,500.0,,1.0,10000.0,48200.3046875,0.028382573276758194,20.0,0
220,,,0.01,,,,,,
220,109.87857055664062,500.0,,1.0,10000.0,6036.64990234375,0.028382575139403343,20.0,0
221,,,0.01,,,,,,
221,57.81449890136719,500.0,,1.0,10000.0,1671.2581787109375,0.02834411710500717,20.0,0
222,,,0.01,,,,,,
222,13.933065414428711,500.0,,1.0,10000.0,97.06515502929688,0.02830839902162552,20.0,0
223,,,0.01,,,,,,
223,120.7634048461914,500.0,,1.0,10000.0,7291.900390625,0.02827354520559311,20.0,0
224,,,0.01,,,,,,
224,69.4356460571289,500.0,,1.0,10000.0,2410.654296875,0.028239723294973373,20.0,0
225,,,0.01,,,,,,
225,333.54278564453125,500.0,,1.0,10000.0,55625.390625,0.028245601803064346,20.0,0
226,,,0.01,,,,,,
