lr-Adam,train_params/lambda_normal_consistency,train/loss_normal_consistency,train/max_step,train/loss_mask,train/max_step_3d,train_params/lambda_3d_sd,train_params/lambda_mask,train/grad_norm_3d,train_params/lambda_rgb,step,train/loss_rgb,train_params/lambda_sd,train/grad_norm,train/loss_sd_3d,train/loss_sd,train_params/lambda_laplacian_smoothness,train/min_step,train/min_step_3d,epoch
,1000.0,0.09681501239538193,600.0,0.16132387518882751,600.0,1.0,100.0,13.754448890686035,1000.0,76,0.023686900734901428,0.02500000037252903,149.5985107421875,94.59243774414062,11189.857421875,0.0,200.0,200.0,0
0.001,,,,,,,,,,77,,,,,,,,,
,1000.0,0.0965779572725296,600.0,0.161239355802536,600.0,1.0,100.0,12.811771392822266,1000.0,77,0.02362239360809326,0.02500000037252903,246.797607421875,82.07073974609375,30454.53125,0.0,200.0,200.0,0
0.001,,,,,,,,,,78,,,,,,,,,
,1000.0,0.096341572701931,600.0,0.1610223948955536,600.0,1.0,100.0,8.941205978393555,1000.0,78,0.023549187928438187,0.02500000037252903,88.16476440429688,39.97257995605469,3886.5126953125,0.0,200.0,200.0,0
0.001,,,,,,,,,,79,,,,,,,,,
,1000.0,0.09610550850629807,600.0,0.16095221042633057,600.0,1.0,100.0,15.227031707763672,1000.0,79,0.023479914292693138,0.02500000037252903,84.83291625976562,115.9312515258789,3598.311767578125,0.0,200.0,200.0,0
0.001,,,,,,,,,,80,,,,,,,,,
,1000.0,0.0958714634180069,600.0,0.16085442900657654,600.0,1.0,100.0,13.472784042358398,1000.0,80,0.023413097485899925,0.02500000037252903,141.67469787597656,90.75794982910156,10035.859375,0.0,200.0,200.0,0
0.001,,,,,,,,,,81,,,,,,,,,
,1000.0,0.09564021229743958,600.0,0.16071489453315735,600.0,1.0,100.0,9.817527770996094,1000.0,81,0.023352889344096184,0.02500000037252903,200.1341552734375,48.191917419433594,20026.83984375,0.0,200.0,200.0,0
0.001,,,,,,,,,,82,,,,,,,,,
,1000.0,0.0954103097319603,600.0,0.16059964895248413,600.0,1.0,100.0,5.946681499481201,1000.0,82,0.023296192288398743,0.02500000037252903,167.47018432617188,17.681509017944336,14023.130859375,0.0,200.0,200.0,0
0.001,,,,,,,,,,83,,,,,,,,,
,1000.0,0.0951826423406601,600.0,0.16023200750350952,600.0,1.0,100.0,8.710834503173828,1000.0,83,0.023230692371726036,0.02500000037252903,183.69769287109375,37.93931579589844,16872.419921875,0.0,200.0,200.0,0
0.001,,,,,,,,,,84,,,,,,,,,
,1000.0,0.09500119090080261,600.0,0.16009071469306946,600.0,1.0,100.0,6.242441177368164,1000.0,84,0.02317393384873867,0.02500000037252903,100.76139831542969,19.48403549194336,5076.4296875,0.0,200.0,200.0,0
0.001,,,,,,,,,,85,,,,,,,,,
,1000.0,0.09472814202308655,600.0,0.160051167011261,600.0,1.0,100.0,15.740882873535156,1000.0,85,0.023110859096050262,0.02500000037252903,196.03749084472656,123.8876953125,19215.349609375,0.0,200.0,200.0,0
0.001,,,,,,,,,,86,,,,,,,,,
,1000.0,0.09450160712003708,600.0,0.16002249717712402,600.0,1.0,100.0,16.636442184448242,1000.0,86,0.02304471656680107,0.02500000037252903,325.7791748046875,138.38560485839844,53066.03125,0.0,200.0,200.0,0
0.001,,,,,,,,,,87,,,,,,,,,
,1000.0,0.0942748486995697,600.0,0.15992684662342072,600.0,1.0,100.0,13.435937881469727,1000.0,87,0.0229922067373991,0.02500000037252903,199.0828399658203,90.26220703125,19816.98828125,0.0,200.0,200.0,0
0.001,,,,,,,,,,88,,,,,,,,,
,1000.0,0.09404990822076797,600.0,0.15961670875549316,600.0,1.0,100.0,13.884480476379395,1000.0,88,0.022926095873117447,0.02500000037252903,64.67300415039062,96.38941955566406,2091.29833984375,0.0,200.0,200.0,0
0.001,,,,,,,,,,89,,,,,,,,,
,1000.0,0.09382537007331848,600.0,0.15947619080543518,600.0,1.0,100.0,11.360599517822266,1000.0,89,0.022864915430545807,0.02500000037252903,180.0063934326172,64.53160858154297,16201.1494140625,0.0,200.0,200.0,0
0.001,,,,,,,,,,90,,,,,,,,,
,1000.0,0.09360171109437943,600.0,0.15943235158920288,600.0,1.0,100.0,8.560624122619629,1000.0,90,0.02280842326581478,0.02500000037252903,294.9904479980469,36.642147064208984,43509.6796875,0.0,200.0,200.0,0
0.001,,,,,,,,,,91,,,,,,,,,
,1000.0,0.09338180720806122,600.0,0.15943990647792816,600.0,1.0,100.0,16.120803833007812,1000.0,91,0.02275298908352852,0.02500000037252903,170.8501434326172,129.94015502929688,14594.8857421875,0.0,200.0,200.0,0
0.001,,,,,,,,,,92,,,,,,,,,
,1000.0,0.09316189587116241,600.0,0.15939630568027496,600.0,1.0,100.0,19.091415405273438,1000.0,92,0.022700119763612747,0.02500000037252903,207.0953369140625,182.24107360839844,21444.23828125,0.0,200.0,200.0,0
0.001,,,,,,,,,,93,,,,,,,,,
,1000.0,0.09294188767671585,600.0,0.15923082828521729,600.0,1.0,100.0,21.03990364074707,1000.0,93,0.022656476125121117,0.02500000037252903,240.8035125732422,221.3387908935547,28993.162109375,0.0,200.0,200.0,0
0.001,,,,,,,,,,94,,,,,,,,,
,1000.0,0.09272222965955734,600.0,0.15898776054382324,600.0,1.0,100.0,7.415482997894287,1000.0,94,0.022603675723075867,0.02500000037252903,122.14797973632812,27.49469566345215,7460.0654296875,0.0,200.0,200.0,0
0.001,,,,,,,,,,95,,,,,,,,,
,1000.0,0.0925036147236824,600.0,0.15888896584510803,600.0,1.0,100.0,12.617538452148438,1000.0,95,0.02255997620522976,0.02500000037252903,278.07098388671875,79.60112762451172,38661.73828125,0.0,200.0,200.0,0
0.001,,,,,,,,,,96,,,,,,,,,
,1000.0,0.09228494018316269,600.0,0.15882545709609985,600.0,1.0,100.0,9.910926818847656,1000.0,96,0.022492408752441406,0.02500000037252903,292.9281005859375,49.11323165893555,42903.43359375,0.0,200.0,200.0,0
0.001,,,,,,,,,,97,,,,,,,,,
,1000.0,0.09206634014844894,600.0,0.15878130495548248,600.0,1.0,100.0,11.729894638061523,1000.0,97,0.02242475003004074,0.02500000037252903,90.20249938964844,68.79521179199219,4068.245361328125,0.0,200.0,200.0,0
0.001,,,,,,,,,,98,,,,,,,,,
